"Rank","Mountain","Elevation","Prominence","Coordinates","Range [Note 4]","Range[Note 5]","Region [Note 6]","Country","First[5] ascent"
"416","Hinter Schloss","3133","506","46°48′09″N 08°31′37″E﻿ / ﻿46.80250°N 8.52694°E﻿ / 46.80250; 8.52694﻿ (416. Hinter Schloss (3133 m))","Urner Alps","I/B-12.I-B","Uri","CH","1863"
"417","Pizzo Filone (fr)","3133","332","46°27′27″N 10°09′48″E﻿ / ﻿46.45750°N 10.16333°E﻿ / 46.45750; 10.16333﻿ (417. Pizzo Filone (3133 m))","Livigno Alps","II/A-15.IV-B","Sondrio","IT",""
"417","Oldenhorn","3132","295","46°19′45″N 07°13′18″E﻿ / ﻿46.32917°N 7.22167°E﻿ / 46.32917; 7.22167﻿ (Oldenhorn (3132 m))","Vaud Alps","I/B-12.III-A","Bern/Val./Vaud","CH","1835"
"418","Mont Chaberton","3131","1281","44°57′53″N 06°45′06″E﻿ / ﻿44.96472°N 6.75167°E﻿ / 44.96472; 6.75167﻿ (418. Mont Chaberton (3131 m))","Massif des Cerces","I/A-04.III-A","Hautes-Alpes","FR","1822"
"419","Piz Duan","3131","482","46°22′31″N 09°35′00″E﻿ / ﻿46.37528°N 9.58333°E﻿ / 46.37528; 9.58333﻿ (419. Piz Duan (3131 m))","Oberhalbstein Range","II/A-15.I-A","Graubünden","CH","1859"
"420","Pointe Léchaud (nl)","3128","525","45°44′01″N 06°48′51″E﻿ / ﻿45.73361°N 6.81417°E﻿ / 45.73361; 6.81417﻿ (420. Pte Léchaud (3128 m))","Mont Blanc massif","I/B-07.III-B","Savoy/Aosta","FR/IT",""
"421","Grohmannspitze","3126","445","46°30′38″N 11°44′01″E﻿ / ﻿46.51056°N 11.73361°E﻿ / 46.51056; 11.73361﻿ (421. Grohmannspitze (3126 m))","Dolomites - NW","II/C-31.III-A","S-Tyrol/Trentino","IT","1880"
"422","Piz Schumbraida","3125","315","46°32′34″N 10°20′18″E﻿ / ﻿46.54278°N 10.33833°E﻿ / 46.54278; 10.33833﻿ (422. Piz Schumbraida (3125 m))","Ortler Alps","II/A-15.V-A","Graub./Sondrio","CH/IT","1883"
"423","Fanellhorn","3124","301","46°32′52″N 09°07′50″E﻿ / ﻿46.54778°N 9.13056°E﻿ / 46.54778; 9.13056﻿ (423. Fanellhorn (3124 m))","Adula Alps","I/B-10.III-B","Graubünden","CH","1859"
"424","Piz Nuna","3123","535","46°43′24″N 10°09′16″E﻿ / ﻿46.72333°N 10.15444°E﻿ / 46.72333; 10.15444﻿ (424. Piz Nuna (3123 m))","Sesvenna Range","II/A-15.V-B","Graubünden","CH","1886"
"425","Schareck","3123","427","47°02′29″N 13°01′03″E﻿ / ﻿47.04139°N 13.01750°E﻿ / 47.04139; 13.01750﻿ (425. Schareck (3123 m))","Goldberg Group","II/A-17.II-E","Carinth/Salzburg","AT","1832"
"426","Groß Seehorn","3122","434","46°53′16″N 10°01′57″E﻿ / ﻿46.88778°N 10.03250°E﻿ / 46.88778; 10.03250﻿ (426. Groß Seehorn (3122 m))","Silvretta","II/A-15.VI-A","Vorarlb/Graub.","AT/CH","1869"
"427","Piz Aul","3121","395","46°37′22″N 09°07′30″E﻿ / ﻿46.62278°N 9.12500°E﻿ / 46.62278; 9.12500﻿ (427. Piz Aul (3121 m))","Adula Alps","I/B-10.III-A","Graubünden","CH","1801"
"428","Piz da l'Acqua","3118","310","46°36′40″N 10°08′20″E﻿ / ﻿46.61111°N 10.13889°E﻿ / 46.61111; 10.13889﻿ (428. Piz da l'Acqua (3118 m))","Livigno Alps","II/A-15.IV-A","Graub./Sondrio","CH/IT","1888"
"429","Grand Pinier (fr)","3117","335","44°43′25″N 06°24′06″E﻿ / ﻿44.72361°N 6.40167°E﻿ / 44.72361; 6.40167﻿ (429. Grand Pinier (3117 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR",""
"430","Schermerspitze","3116","308","46°53′16″N 11°05′04″E﻿ / ﻿46.88778°N 11.08444°E﻿ / 46.88778; 11.08444﻿ (430. Schermerspitze (3116 m))","Ötztal Alps","II/A-16.I-A","North Tyrol","AT",""
"431","Grand Queyras","3114","308","44°42′56″N 06°57′07″E﻿ / ﻿44.71556°N 6.95194°E﻿ / 44.71556; 6.95194﻿ (431. Grand Queyras (3114 m))","Southern Cottian Alps","I/A-04.I-C","Hautes-Alpes","FR",""
"432","Luibiskogel","3110","473","47°02′59″N 10°54′15″E﻿ / ﻿47.04972°N 10.90417°E﻿ / 47.04972; 10.90417﻿ (432. Luibiskogel (3110 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1894"
"433","Monte Servin","3108","333","45°15′53″N 07°11′59″E﻿ / ﻿45.26472°N 7.19972°E﻿ / 45.26472; 7.19972﻿ (433. Monte Servin (3108 m))","Graian Alps - SE","I/B-07.I-C","Turin","IT",""
"434","Krönten","3108","330","46°46′56″N 08°34′10″E﻿ / ﻿46.78222°N 8.56944°E﻿ / 46.78222; 8.56944﻿ (434. Krönten (3108 m))","Urner Alps","I/B-12.I-B","Uri","CH","1868"
"435","Gletscherhorn[Note 13]","3107","413","46°23′15″N 09°33′38″E﻿ / ﻿46.38750°N 9.56056°E﻿ / 46.38750; 9.56056﻿ (435. Gletscherhorn (3107 m))","Oberhalbstein Range","II/A-15.I-A","Graubünden","CH","1849"
"435","Pizz Gallagiun/Galleggione[Note 13]","3107","413","46°22′01″N 09°29′16″E﻿ / ﻿46.36694°N 9.48778°E﻿ / 46.36694; 9.48778﻿ (435. Pizz Gallagiun / Galleggione (3107 m))","Oberhalbstein Range","II/A-15.I-A","Graub./Sondrio","CH/IT","1861"
"437","Ochsner","3107","300","47°02′38″N 11°48′56″E﻿ / ﻿47.04389°N 11.81556°E﻿ / 47.04389; 11.81556﻿ (437. Ochsner (3107 m))","Zillertal Alps","II/A-17.I-B","North Tyrol","AT","1880"
"438","Tête de Moïse","3104","562","44°26′26″N 06°56′06″E﻿ / ﻿44.44056°N 6.93500°E﻿ / 44.44056; 6.93500﻿ (438. Tête de Moïse (3104 m))","Southern Cottian Alps","I/A-04.I-A","AdHP/Cuneo","FR/IT","1883"
"439","Piz la Stretta / Monte Breva","3104","314","46°28′36″N 10°02′41″E﻿ / ﻿46.47667°N 10.04472°E﻿ / 46.47667; 10.04472﻿ (439. Piz la Stretta / Monte Breva (3104 m))","Livigno Alps","II/A-15.IV-A","Graub./Sondrio","CH",""
"440","Große Ohrenspitze","3101","369","46°54′25″N 12°10′39″E﻿ / ﻿46.90694°N 12.17750°E﻿ / 46.90694; 12.17750﻿ (440. Große Ohrenspitze (3101 m))","Rieserferner Group","II/A-17.III-A","E-Tyrol/S-Tyrol","AT/IT","1878"
"441","Piz Segnas","3099","607","46°54′28″N 09°14′23″E﻿ / ﻿46.90778°N 9.23972°E﻿ / 46.90778; 9.23972﻿ (441. Piz Segnas (3099 m))","Glarus Alps","I/B-13.II-B","Glarus/Graub.","CH","1861"
"442","Monte Ouille","3099","362","45°43′54″N 06°51′59″E﻿ / ﻿45.73167°N 6.86639°E﻿ / 45.73167; 6.86639﻿ (442. Monte Ouille (3099 m))","Mont Blanc massif","I/B-07.III-B","Aosta Valley","IT",""
"443","Lasörling","3098","490","46°58′33″N 12°21′19″E﻿ / ﻿46.97583°N 12.35528°E﻿ / 46.97583; 12.35528﻿ (443. Lasörling (3098 m))","Venediger Group","II/A-17.II-A","East Tyrol","AT","1854"
"444","Pointe des Cerces","3098","485","45°03′56″N 06°29′18″E﻿ / ﻿45.06556°N 6.48833°E﻿ / 45.06556; 6.48833﻿ (444. Pte des Cerces (3098 m))","Massif des Cerces","I/A-04.III-A","H-Alpes/Savoy","FR","1891"
"445","Pic des Souffles","3098","419","44°51′54″N 06°08′00″E﻿ / ﻿44.86500°N 6.13333°E﻿ / 44.86500; 6.13333﻿ (445. Pic des Souffles (3098 m))","Massif des Écrins","I/A-05.III-D","Isère/H-Alpes","FR","1890"
"446","Monte Matto","3097","577","44°13′30″N 07°15′23″E﻿ / ﻿44.22500°N 7.25639°E﻿ / 44.22500; 7.25639﻿ (446. Monte Matto (3097 m))","Maritime Alps","I/A-02.I-B","Cuneo","IT","1879"
"447","Pflerscher Tribulaun","3097","498","46°59′07″N 11°20′21″E﻿ / ﻿46.98528°N 11.33917°E﻿ / 46.98528; 11.33917﻿ (447. Pflerscher Tribulaun (3097 m))","Stubai Alps","II/A-16.II-A","N-Tyrol/S-Tyrol","AT/IT","1874"
"447","Blockkogel","3097","295","47°05′07″N 10°52′50″E﻿ / ﻿47.08528°N 10.88056°E﻿ / 47.08528; 10.88056﻿ (Blockkogel (3097 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT",""
"448","Piz Giuv / Schattig Wichel","3096","749","46°42′07″N 08°41′33″E﻿ / ﻿46.70194°N 8.69250°E﻿ / 46.70194; 8.69250﻿ (448. Piz Giuv / Schattig Wichel (3096 m))","Glarus Alps","I/B-13.I-A","Graubünden/Uri","CH","1804"
"449","Mont Buet","3096","612","46°01′29″N 06°51′10″E﻿ / ﻿46.02472°N 6.85278°E﻿ / 46.02472; 6.85278﻿ (449. Mont Buet (3096 m))","Chablais Alps","I/B-08.II-A","Upper Savoy","FR","1770"
"450","Zwölferkofel / Croda dei Toni","3094","713","46°37′09″N 12°21′35″E﻿ / ﻿46.61917°N 12.35972°E﻿ / 46.61917; 12.35972﻿ (450. Zwölferkofel / Croda dei Toni (3094 m))","Sexten Dolomites","II/C-31.I-A","Belluno/S-Tyrol","IT","1874"
"451","Elferkofel /Cima Undici","3092","661","46°38′11″N 12°22′42″E﻿ / ﻿46.63639°N 12.37833°E﻿ / 46.63639; 12.37833﻿ (451. Elferkofel / Cima Undici (3092 m))","Sexten Dolomites","II/C-31.I-A","Belluno/S-Tyrol","IT","1878"
"452","Racherin","3092","429","47°04′52″N 12°47′40″E﻿ / ﻿47.08111°N 12.79444°E﻿ / 47.08111; 12.79444﻿ (452. Racherin (3092 m))","Glockner Group","II/A-17.II-C","Carinthia","AT","1848"
"453","Mont Fallère (it)","3090","607","45°46′32″N 07°11′39″E﻿ / ﻿45.77556°N 7.19417°E﻿ / 45.77556; 7.19417﻿ (453. Mont Fallère (3090 m))","Grand Combin Alps","I/B-09.I-B","Aosta Valley","IT",""
"454","Tête de la Courbe","3089","565","44°29′52″N 06°49′24″E﻿ / ﻿44.49778°N 6.82333°E﻿ / 44.49778; 6.82333﻿ (454. Tête de la Courbe (3089 m))","Southern Cottian Alps","I/A-04.I-A","A-d-H-Provence","FR",""
"455","Vesulspitze","3089","550","47°00′06″N 10°20′57″E﻿ / ﻿47.00167°N 10.34917°E﻿ / 47.00167; 10.34917﻿ (455. Vesulspitze (3089 m))","Samnaun Alps","II/A-15.VI-B","North Tyrol","AT","1866"
"456","Monte Forcellina (fr)","3087","473","46°27′59″N 10°11′55″E﻿ / ﻿46.46639°N 10.19861°E﻿ / 46.46639; 10.19861﻿ (456. Monte Forcellina (3087 m))","Livigno Alps","II/A-15.IV-B","Sondrio","IT",""
"456","Hohe Villerspitze","3087","293","47°06′24″N 11°09′56″E﻿ / ﻿47.10667°N 11.16556°E﻿ / 47.10667; 11.16556﻿ (Hohe Villerspitze (3087 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1878"
"457","Flüela Wisshorn","3085","632","46°45′44″N 09°58′00″E﻿ / ﻿46.76222°N 9.96667°E﻿ / 46.76222; 9.96667﻿ (457. Flüela Wisshorn (3085 m))","Silvretta","II/A-15.VI-A","Graubünden","CH","1880"
"458","Cima da Lägh /Cima di Lago","3083","422","46°22′35″N 09°27′40″E﻿ / ﻿46.37639°N 9.46111°E﻿ / 46.37639; 9.46111﻿ (458. Cima da Lägh / Cima di Lago (3083 m))","Oberhalbstein Range","II/A-15.I-A","Graub./Sondrio","CH/IT",""
"459","Zwieselbacher Rosskogel","3081","330","47°09′48″N 11°02′53″E﻿ / ﻿47.16333°N 11.04806°E﻿ / 47.16333; 11.04806﻿ (459. Zwieselbacher Rosskogel (3081 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1881"
"459","Fundusfeiler","3079","295","47°06′44″N 10°52′13″E﻿ / ﻿47.11222°N 10.87028°E﻿ / 47.11222; 10.87028﻿ (Fundusfeiler (3079 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT",""
"460","Chüealphorn","3078","472","46°41′07″N 09°54′19″E﻿ / ﻿46.68528°N 9.90528°E﻿ / 46.68528; 9.90528﻿ (460. Chüealphorn (3078 m))","Albula Alps","II/A-15.II-B","Graubünden","CH","1877"
"461","Mont Néry","3076","906","45°42′57″N 07°49′12″E﻿ / ﻿45.71583°N 7.82000°E﻿ / 45.71583; 7.82000﻿ (461. Mont Néry / Becca Frudiera (3076 m))","Monte Rosa Alps","I/B-09.III-B","Aosta Valley","IT","1873"
"462","Großer Hafner","3076","824","47°04′12″N 13°24′03″E﻿ / ﻿47.07000°N 13.40083°E﻿ / 47.07000; 13.40083﻿ (462. Großer Hafner (3076 m))","Ankogel Group","II/A-17.II-F","Carinth/Salzburg","AT","1825"
"463","Pic de Parières","3076","469","44°46′46″N 06°14′27″E﻿ / ﻿44.77944°N 6.24083°E﻿ / 44.77944; 6.24083﻿ (463. Pic de Parières (3076 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR",""
"464","Piz Starlex","3075","779","46°39′46″N 10°23′33″E﻿ / ﻿46.66278°N 10.39250°E﻿ / 46.66278; 10.39250﻿ (464. Piz Starlex (3075 m))","Sesvenna Range","II/A-15.V-B","Graub./S-Tyrol","CH/IT",""
"465","Piz Sena","3075","344","46°21′11″N 10°06′36″E﻿ / ﻿46.35306°N 10.11000°E﻿ / 46.35306; 10.11000﻿ (465. Piz Sena (3075 m))","Livigno Alps","II/A-15.IV-B","Graub./Sondrio","CH/IT","1901"
"466","Bristen","3073","567","46°44′13″N 08°40′52″E﻿ / ﻿46.73694°N 8.68111°E﻿ / 46.73694; 8.68111﻿ (466. Bristen (3073 m))","Glarus Alps","I/B-13.I-A","Uri","CH","1823"
"467","Wildkarspitze","3073","384","47°10′21″N 12°08′21″E﻿ / ﻿47.17250°N 12.13917°E﻿ / 47.17250; 12.13917﻿ (467. Wildkarspitze (3073 m))","Zillertal Alps","II/A-17.I-D","Salzburg","AT","1892"
"468","Pizzo Campo Tencia","3072","754","46°25′47″N 08°43′34″E﻿ / ﻿46.42972°N 8.72611°E﻿ / 46.42972; 8.72611﻿ (468. Pizzo Campo Tencia (3072 m))","Ticino Alps","I/B-10.II-D","Ticino","CH","1867"
"469","Chüebodenhorn","3070","316","46°30′29″N 08°27′11″E﻿ / ﻿46.50806°N 8.45306°E﻿ / 46.50806; 8.45306﻿ (469. Chüebodenhorn (3070 m))","Leone-Gotthard Alps","I/B-10.I-B","Ticino/Valais","CH",""
"469","Tête de la Cassille","3069","299","45°02′38″N 06°29′58″E﻿ / ﻿45.04389°N 6.49944°E﻿ / 45.04389; 6.49944﻿ (Tête de la Cassille (3069 m))","Massif des Cerces","I/A-04.III-A","Hautes-Alpes","FR",""
"470","La Meyna","3067","375","44°28′52″N 06°51′31″E﻿ / ﻿44.48111°N 6.85861°E﻿ / 44.48111; 6.85861﻿ (470. La Meyna (3067 m))","Southern Cottian Alps","I/A-04.I-A","A-d-H-Provence","FR",""
"471","Geltenhorn","3065","312","46°20′47″N 07°20′04″E﻿ / ﻿46.34639°N 7.33444°E﻿ / 46.34639; 7.33444﻿ (471. Geltenhorn (3065 m))","Bernese Alps","I/B-12.II-F","Bern/Valais","CH",""
"472","Cunturines/Conturines","3064","913","46°34′33″N 11°58′40″E﻿ / ﻿46.57583°N 11.97778°E﻿ / 46.57583; 11.97778﻿ (472. Cunturines / Conturines (3064 m))","Dolomites - NE","II/C-31.I-C","South Tyrol","IT","1881"
"473","Hoher Prijakt","3064","473","46°54′56″N 12°42′46″E﻿ / ﻿46.91556°N 12.71278°E﻿ / 46.91556; 12.71278﻿ (473. Hoher Prijakt (3064 m))","Schober Group","II/A-17.II-D","East Tyrol","AT","1890"
"474","Pointe des Rochers Charniers","3063","389","44°59′16″N 06°44′08″E﻿ / ﻿44.98778°N 6.73556°E﻿ / 44.98778; 6.73556﻿ (474. Pte des Rochers Charniers (3063 m))","Massif des Cerces","I/A-04.III-A","Hautes-Alpes","FR",""
"475","Hoch Ducan","3063","324","46°41′22″N 09°51′05″E﻿ / ﻿46.68944°N 9.85139°E﻿ / 46.68944; 9.85139﻿ (475. Hoch Ducan (3063 m))","Albula Alps","II/A-15.II-B","Graubünden","CH","1845"
"476","Pizzo Gallina","3061","378","46°29′41″N 08°23′31″E﻿ / ﻿46.49472°N 8.39194°E﻿ / 46.49472; 8.39194﻿ (476. Pizzo Gallina (3061 m))","Leone-Gotthard Alps","I/B-10.I-B","Ticino/Valais","CH",""
"477","Seeköpfe","3061","330","47°02′40″N 10°16′03″E﻿ / ﻿47.04444°N 10.26750°E﻿ / 47.04444; 10.26750﻿ (477. Seeköpfe (3061 m))","Verwall","II/A-15.VI-C","North Tyrol","AT","1886"
"478","Piz Grisch","3060","544","46°31′52″N 09°28′22″E﻿ / ﻿46.53111°N 9.47278°E﻿ / 46.53111; 9.47278﻿ (478. Piz Grisch (3060 m))","Oberhalbstein Range","II/A-15.I-B","Graubünden","CH","1861"
"478","Grand Queyron (it)","3060","295","44°50′34″N 07°00′06″E﻿ / ﻿44.84278°N 7.00167°E﻿ / 44.84278; 7.00167﻿ (Grand Queyron (3060 m))","Central Cottian Alps","I/A-04.II-A","H-Alpes/Turin","FR/IT",""
"479","Grabspitze","3059","415","46°56′19″N 11°36′52″E﻿ / ﻿46.93861°N 11.61444°E﻿ / 46.93861; 11.61444﻿ (479. Grabspitze (3059 m))","Zillertal Alps","II/A-17.I-C","South Tyrol","IT","1852"
"480","Monte Vago","3059","388","46°26′27″N 10°04′44″E﻿ / ﻿46.44083°N 10.07889°E﻿ / 46.44083; 10.07889﻿ (480. Monte Vago (3059 m))","Livigno Alps","II/A-15.IV-B","Sondrio","IT",""
"481","Sasso Vernale (it)","3058","356","46°25′08″N 11°50′26″E﻿ / ﻿46.41889°N 11.84056°E﻿ / 46.41889; 11.84056﻿ (481. Sasso Vernale (3058 m))","Dolomites - NW","II/C-31.III-B","Belluno/Trentino","IT",""
"482","Bruschghorn","3056","577","46°37′52″N 09°18′24″E﻿ / ﻿46.63111°N 9.30667°E﻿ / 46.63111; 9.30667﻿ (482. Bruschghorn (3056 m))","Adula Alps","I/B-10.III-C","Graubünden","CH",""
"483","Patteriol","3056","465","47°02′39″N 10°11′15″E﻿ / ﻿47.04417°N 10.18750°E﻿ / 47.04417; 10.18750﻿ (483. Patteriol (3056 m))","Verwall","II/A-15.VI-C","North Tyrol","AT","1860"
"484","Aiguille des Corneillets","3055","325","45°19′21″N 06°39′41″E﻿ / ﻿45.32250°N 6.66139°E﻿ / 45.32250; 6.66139﻿ (484. Aig. des Corneillets (3055 m))","Vanoise massif","I/B-07.II-E","Savoy","FR",""
"484","Innere Wetterspitze","3053","293","46°59′47″N 11°14′47″E﻿ / ﻿46.99639°N 11.24639°E﻿ / 46.99639; 11.24639﻿ (Innere Wetterspitze (3053 m))","Stubai Alps","II/A-16.II-A","North Tyrol","AT","1874"
"485","Piz Forun","3052","458","46°39′19″N 09°51′54″E﻿ / ﻿46.65528°N 9.86500°E﻿ / 46.65528; 9.86500﻿ (485. Piz Forun (3052 m))","Albula Alps","II/A-15.II-B","Graubünden","CH","1847"
"486","Grand Muveran","3051","1013","46°14′14″N 07°07′34″E﻿ / ﻿46.23722°N 7.12611°E﻿ / 46.23722; 7.12611﻿ (486. Grand Muveran (3051 m))","Vaud Alps","I/B-12.III-A","Valais/Vaud","CH",""
"487","Mont Pelat","3051","770","44°15′54″N 06°42′21″E﻿ / ﻿44.26500°N 6.70583°E﻿ / 44.26500; 6.70583﻿ (487. Mont Pelat (3051 m))","Maritime Alps","I/A-02.I-E","A-d-H-Provence","FR",""
"488","Pizzo Coca","3050","1878","46°04′18″N 10°00′41″E﻿ / ﻿46.07167°N 10.01139°E﻿ / 46.07167; 10.01139﻿ (488. Pizzo Coca (3050 m))","Bergamo Alps","II/C-29.I-A","Bergamo/Sondrio","IT","1877"
"489","Piz Minor","3049","584","46°27′04″N 10°01′42″E﻿ / ﻿46.45111°N 10.02833°E﻿ / 46.45111; 10.02833﻿ (489. Piz Minor (3049 m))","Livigno Alps","II/A-15.IV-A","Graubünden","CH",""
"490","Gross Lohner","3049","560","46°27′43″N 07°36′00″E﻿ / ﻿46.46194°N 7.60000°E﻿ / 46.46194; 7.60000﻿ (490. Gross Lohner (3049 m))","Bernese Alps","I/B-12.II-F","Bern","CH","1875"
"491","Le Rochail (Pointe de Malhaubert)","3049","558","44°58′31″N 06°01′57″E﻿ / ﻿44.97528°N 6.03250°E﻿ / 44.97528; 6.03250﻿ (491. Le Rochail (Pte de Malhaubert) (3049 m))","Massif des Écrins","I/A-05.III-E","Isère","FR",""
"492","Rosenspitze","3049","418","46°59′18″N 12°15′16″E﻿ / ﻿46.98833°N 12.25444°E﻿ / 46.98833; 12.25444﻿ (492. Rosenspitze (3049 m))","Venediger Group","II/A-17.II-A","East Tyrol","AT","1894"
"493","Aiguille du Fruit (fr)","3048","519","45°21′20″N 06°37′53″E﻿ / ﻿45.35556°N 6.63139°E﻿ / 45.35556; 6.63139﻿ (493. Aig. du Fruit (3048 m))","Vanoise massif","I/B-07.II-E","Savoy","FR",""
"494","Grand Bérard (fr)","3046","938","44°26′58″N 06°39′35″E﻿ / ﻿44.44944°N 6.65972°E﻿ / 44.44944; 6.65972﻿ (494. Grand Bérard (3046 m))","Southern Cottian Alps","I/A-04.I-B","A-d-H-Provence","FR","1820"
"495","Grand Argentier / Punta Nera (it)","3046","505","45°07′20″N 06°39′31″E﻿ / ﻿45.12222°N 6.65861°E﻿ / 45.12222; 6.65861﻿ (495. Grand Argentier / Pta Nera (3046 m))","Northern Cottian Alps","I/A-04.III-B","Savoy/Turin","FR/IT",""
"496","Piz Murtera","3044","449","46°46′31″N 10°02′25″E﻿ / ﻿46.77528°N 10.04028°E﻿ / 46.77528; 10.04028﻿ (496. Piz Murtera (3044 m))","Silvretta","II/A-15.VI-A","Graubünden","CH",""
"497","Gross Wendenstock","3042","346","46°45′42″N 08°22′49″E﻿ / ﻿46.76167°N 8.38028°E﻿ / 46.76167; 8.38028﻿ (497. Gross Wendenstock (3042 m))","Urner Alps","I/B-12.I-B","Bern","CH","1873"
"498","Monte Albergian (it)","3041","428","45°00′27″N 06°59′34″E﻿ / ﻿45.00750°N 6.99278°E﻿ / 45.00750; 6.99278﻿ (498. Monte Albergian (3041 m))","Central Cottian Alps","I/A-04.II-A","Turin","IT","1822"
"499","Piz Gannaretsch","3040","934","46°36′43″N 08°47′12″E﻿ / ﻿46.61194°N 8.78667°E﻿ / 46.61194; 8.78667﻿ (499. Piz Gannaretsch (3040 m))","Leone-Gotthard Alps","I/B-10.I-B","Graubünden","CH",""
"500","Alperschällihorn","3039","425","46°35′12″N 09°18′24″E﻿ / ﻿46.58667°N 9.30667°E﻿ / 46.58667; 9.30667﻿ (500. Alperschällihorn (3039 m))","Adula Alps","I/B-10.III-C","Graub./Ticino","CH","1893"
"501","Punta Scais[Note 14]","3039","393","46°04′07″N 09°59′04″E﻿ / ﻿46.06861°N 9.98444°E﻿ / 46.06861; 9.98444﻿ (501. Pta Scais (3039 m))","Bergamo Alps","II/C-29.I-A","Bergamo/Sondrio","IT","1881"
"502","Bric Ghinivert (it)","3037","347","44°57′05″N 06°59′28″E﻿ / ﻿44.95139°N 6.99111°E﻿ / 44.95139; 6.99111﻿ (502. Bric Ghinivert (3037 m))","Central Cottian Alps","I/A-04.II-A","Turin","IT",""
"503","Parseierspitze","3036","1243","47°10′28″N 10°28′42″E﻿ / ﻿47.17444°N 10.47833°E﻿ / 47.17444; 10.47833﻿ (503. Parseierspitze (3036 m))","Lechtal Alps","II/B-21.I-A","North Tyrol","AT","1869"
"504","Hexenkopf","3035","371","47°01′16″N 10°28′10″E﻿ / ﻿47.02111°N 10.46944°E﻿ / 47.02111; 10.46944﻿ (504. Hexenkopf (3035 m))","Samnaun Alps","II/A-15.VI-B","North Tyrol","AT","1853"
"504","Piz Umbrail","3033","294","46°33′03″N 10°24′52″E﻿ / ﻿46.55083°N 10.41444°E﻿ / 46.55083; 10.41444﻿ (Piz Umbrail (3033 m))","Ortler Alps","II/A-15.V-A","Graub./Sondrio","CH/IT","1865"
"505","Tête de Siguret (fr)","3032","706","44°26′30″N 06°47′18″E﻿ / ﻿44.44167°N 6.78833°E﻿ / 44.44167; 6.78833﻿ (505. Tête de Siguret (3032 m))","Maritime Alps","I/A-02.I-C","A-d-H-Provence","FR",""
"506","Pizzo Ligoncio","3032","506","46°14′20″N 09°32′52″E﻿ / ﻿46.23889°N 9.54778°E﻿ / 46.23889; 9.54778﻿ (506. Pizzo Ligoncio (3032 m))","Bregaglia Range","II/A-15.III-B","Sondrio","IT",""
"507","Becca di Vlou","3032","483","45°41′30″N 07°47′32″E﻿ / ﻿45.69167°N 7.79222°E﻿ / 45.69167; 7.79222﻿ (507. Becca di Vlou (3032 m))","Monte Rosa Alps","I/B-09.III-B","Aosta Valley","IT",""
"508","Piz S-chalembert","3031","722","46°48′03″N 10°24′48″E﻿ / ﻿46.80083°N 10.41333°E﻿ / 46.80083; 10.41333﻿ (508. Piz S-chalembert (3031 m))","Sesvenna Range","II/A-15.V-B","Graubünden","CH",""
"509","Mont Ténibre / M. Tenibres (it)","3031","525","44°17′02″N 06°58′20″E﻿ / ﻿44.28389°N 6.97222°E﻿ / 44.28389; 6.97222﻿ (509. Mont Ténibre / M. Tenibres (3031 m))","Maritime Alps","I/A-02.I-C","A-Marit/Cuneo","FR/IT","1836"
"509","Piz Cotschen","3031","296","46°48′47″N 10°10′37″E﻿ / ﻿46.81306°N 10.17694°E﻿ / 46.81306; 10.17694﻿ (Piz Cotschen (3031 m))","Silvretta","II/A-15.VI-A","Graubünden","CH",""
"510","Bric Rosso / Monte Politri (it)","3030","317","44°59′28″N 07°01′07″E﻿ / ﻿44.99111°N 7.01861°E﻿ / 44.99111; 7.01861﻿ (510. Monte Politri (3030 m))","Central Cottian Alps","I/A-04.II-A","Turin","IT",""
"511","Piz Por","3028","733","46°30′34″N 09°23′03″E﻿ / ﻿46.50944°N 9.38417°E﻿ / 46.50944; 9.38417﻿ (511. Piz Por (3028 m))","Oberhalbstein Range","II/A-15.I-A","Graubünden","CH","1894"
"512","Bündner Vorab","3028","408","46°52′26″N 09°09′24″E﻿ / ﻿46.87389°N 9.15667°E﻿ / 46.87389; 9.15667﻿ (512. Bündner Vorab (3028 m))","Glarus Alps","I/B-13.II-B","Glarus/Graub.","CH","1842"
"513","Corno di Ban","3028","311","46°25′04″N 08°21′40″E﻿ / ﻿46.41778°N 8.36111°E﻿ / 46.41778; 8.36111﻿ (513. Corno di Ban (3028 m))","Leone-Gotthard Alps","I/B-10.I-A","V-C-O","IT",""
"514","Zehner/Sas dales Diesc","3026","493","46°37′20″N 11°57′38″E﻿ / ﻿46.62222°N 11.96056°E﻿ / 46.62222; 11.96056﻿ (514. Zehner / Sas dales Diesc (3026 m))","Dolomites - NE","II/C-31.I-C","South Tyrol","IT","1887"
"515","Furchetta / Furcheta [Note 15]","3025","904","46°36′44″N 11°46′24″E﻿ / ﻿46.61222°N 11.77333°E﻿ / 46.61222; 11.77333﻿ (515. Furchetta / Furcheta (3025 m))","Dolomites - NW","II/C-31.III-A","South Tyrol","IT","1878"
